"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 21, 2016","1,939.60","1,939.11","1,946.74","1,934.02","7.48K","-0.14%"
"Sep 20, 2016","1,942.32","1,931.65","1,944.18","1,925.51","8.50K","0.48%"
"Sep 19, 2016","1,932.95","1,899.20","1,935.49","1,894.82","12.72K","2.49%"
"Sep 13, 2016","1,886.06","1,878.52","1,894.35","1,865.79","13.41K","2.00%"
"Sep 12, 2016","1,849.13","1,866.18","1,892.44","1,849.13","20.19K","-3.30%"
"Sep 09, 2016","1,912.21","1,921.64","1,921.64","1,896.08","10.02K","-0.49%"
"Sep 08, 2016","1,921.61","1,929.32","1,934.34","1,897.37","9.92K","0.06%"
"Sep 07, 2016","1,920.52","1,953.65","1,962.41","1,920.52","8.35K","-1.45%"
"Sep 06, 2016","1,948.82","1,933.44","1,950.51","1,930.99","6.39K","0.84%"
"Sep 05, 2016","1,932.66","1,932.64","1,944.62","1,930.72","8.44K","0.40%"
"Sep 02, 2016","1,925.03","1,916.04","1,926.51","1,910.54","10.99K","0.89%"
"Sep 01, 2016","1,908.00","1,906.11","1,908.15","1,893.01","5.91K","-0.79%"
"Aug 31, 2016","1,923.26","1,940.42","1,940.42","1,906.78","10.87K","-0.91%"
"Aug 30, 2016","1,940.96","1,948.30","1,956.12","1,933.14","9.28K","0.24%"
"Aug 29, 2016","1,936.25","1,937.04","1,946.98","1,932.99","9.82K","-1.00%"
"Aug 26, 2016","1,955.88","1,963.43","1,966.08","1,946.96","11.95K","-0.89%"
"Aug 25, 2016","1,973.54","1,974.61","1,983.05","1,965.24","15.52K","-0.40%"
"Aug 24, 2016","1,981.38","1,998.87","2,001.96","1,974.38","6.53K","-0.83%"
"Aug 23, 2016","1,997.88","1,996.27","2,002.13","1,990.32","8.73K","0.30%"
"Aug 22, 2016","1,991.87","2,005.74","2,011.64","1,988.39","8.90K","-0.52%"
"Aug 19, 2016","2,002.38","1,972.04","2,004.94","1,971.75","12.45K","1.74%"
"Aug 18, 2016","1,968.19","1,925.65","1,969.61","1,919.62","9.28K","2.52%"
"Aug 17, 2016","1,919.86","1,924.82","1,925.31","1,901.95","10.83K","-0.47%"
"Aug 16, 2016","1,928.97","1,961.30","1,965.24","1,928.97","11.94K","-1.39%"
"Aug 12, 2016","1,956.09","1,960.42","1,971.71","1,953.19","11.91K","-0.12%"
"Aug 11, 2016","1,958.47","1,966.51","1,967.82","1,936.79","8.36K","-0.41%"
"Aug 10, 2016","1,966.63","1,996.17","1,998.88","1,962.40","8.87K","-1.43%"
"Aug 09, 2016","1,995.14","2,000.20","2,001.35","1,987.79","7.36K","-0.17%"
"Aug 08, 2016","1,998.51","2,013.23","2,018.45","1,990.53","9.00K","-0.25%"
"Aug 05, 2016","2,003.52","1,982.20","2,003.92","1,980.69","11.41K","1.81%"
"Aug 04, 2016","1,967.99","1,987.67","1,994.86","1,967.99","6.96K","-0.45%"
"Aug 03, 2016","1,976.85","1,970.27","1,993.10","1,961.30","10.38K","-0.23%"
"Aug 02, 2016","1,981.43","1,995.37","1,995.37","1,979.29","11.80K","-0.93%"
"Aug 01, 2016","2,000.01","1,981.78","2,006.64","1,981.35","13.60K","1.92%"
"Jul 29, 2016","1,962.26","1,935.81","1,966.27","1,933.75","10.72K","1.83%"
"Jul 28, 2016","1,927.03","1,929.69","1,936.38","1,917.57","10.55K","-0.03%"
"Jul 27, 2016","1,927.59","1,923.00","1,930.66","1,919.95","11.70K","0.42%"
"Jul 26, 2016","1,919.55","1,905.96","1,920.74","1,888.22","12.60K","0.36%"
"Jul 25, 2016","1,912.71","1,919.96","1,929.76","1,907.18","12.69K","-0.05%"
"Jul 22, 2016","1,913.69","1,909.65","1,917.85","1,898.24","14.13K","-0.52%"
"Jul 21, 2016","1,923.63","1,895.52","1,925.31","1,894.88","26.28K","2.11%"
"Jul 20, 2016","1,883.96","1,869.30","1,884.51","1,863.65","7.63K","0.64%"
"Jul 19, 2016","1,872.03","1,878.11","1,879.90","1,862.07","11.02K","-0.03%"
"Jul 18, 2016","1,872.55","1,865.33","1,872.90","1,853.99","9.04K","0.38%"
"Jul 15, 2016","1,865.39","1,870.40","1,870.40","1,858.35","8.59K","-0.01%"
"Jul 14, 2016","1,865.53","1,849.20","1,865.53","1,846.40","11.71K","0.89%"
"Jul 13, 2016","1,848.99","1,856.38","1,858.41","1,839.91","8.60K","0.80%"
"Jul 12, 2016","1,834.25","1,850.93","1,855.54","1,830.72","8.63K","-0.55%"
"Jul 11, 2016","1,844.34","1,830.88","1,850.63","1,828.54","9.01K","1.90%"
"Jul 08, 2016","1,809.94","1,807.45","1,822.15","1,798.72","6.20K","0.21%"
"Jul 07, 2016","1,806.06","1,779.18","1,809.15","1,777.35","6.92K","2.00%"
"Jul 06, 2016","1,770.60","1,794.01","1,799.36","1,759.42","10.20K","-2.27%"
"Jul 05, 2016","1,811.74","1,823.76","1,823.76","1,808.70","6.46K","-0.44%"
"Jul 04, 2016","1,819.80","1,806.96","1,821.51","1,801.42","7.19K","0.98%"
"Jul 01, 2016","1,802.18","1,776.35","1,812.38","1,776.13","10.54K","1.43%"
"Jun 30, 2016","1,776.82","1,768.56","1,788.02","1,756.34","8.02K","1.26%"
"Jun 29, 2016","1,754.78","1,750.57","1,764.94","1,747.02","8.26K","1.27%"
"Jun 28, 2016","1,732.84","1,710.43","1,738.45","1,710.03","8.40K","0.12%"
"Jun 27, 2016","1,730.84","1,698.13","1,731.28","1,696.66","11.12K","0.16%"
"Jun 24, 2016","1,728.00","1,796.21","1,797.99","1,682.32","25.43K","-2.59%"
"Jun 23, 2016","1,773.88","1,770.28","1,777.47","1,762.63","11.68K","-0.11%"
"Jun 22, 2016","1,775.87","1,759.10","1,778.21","1,756.90","9.42K","0.78%"
"Jun 21, 2016","1,762.09","1,761.36","1,764.94","1,749.66","5.00K","0.02%"
"Jun 20, 2016","1,761.70","1,757.25","1,764.50","1,750.57","7.63K","0.89%"
"Jun 17, 2016","1,746.10","1,754.01","1,762.81","1,740.44","6.60K","0.18%"
"Jun 16, 2016","1,742.90","1,769.49","1,769.49","1,733.29","9.08K","-1.17%"
"Jun 15, 2016","1,763.51","1,730.68","1,766.99","1,729.92","13.28K","2.56%"
"Jun 14, 2016","1,719.45","1,699.34","1,721.43","1,697.92","8.24K","0.98%"
"Jun 13, 2016","1,702.70","1,718.97","1,719.68","1,700.78","6.68K","-1.86%"
"Jun 10, 2016","1,734.93","1,746.70","1,746.95","1,728.29","6.76K","-0.87%"
"Jun 09, 2016","1,750.24","1,740.52","1,750.82","1,730.83","11.18K","0.83%"
"Jun 08, 2016","1,735.91","1,754.80","1,754.80","1,735.11","11.73K","-0.51%"
"Jun 07, 2016","1,744.78","1,731.65","1,747.09","1,731.60","9.57K","1.30%"
"Jun 03, 2016","1,722.44","1,722.33","1,724.14","1,713.29","10.60K","0.41%"
"Jun 02, 2016","1,715.41","1,715.48","1,728.59","1,713.13","8.64K","0.50%"
"Jun 01, 2016","1,706.91","1,694.59","1,714.64","1,691.65","8.43K","1.01%"
"May 31, 2016","1,689.82","1,680.75","1,693.25","1,668.96","11.79K","0.62%"
"May 30, 2016","1,679.40","1,676.67","1,687.51","1,672.19","11.89K","0.62%"
"May 27, 2016","1,669.00","1,661.30","1,674.75","1,659.39","12.86K","0.78%"
"May 26, 2016","1,656.08","1,662.63","1,663.81","1,655.23","6.68K","-0.13%"
"May 25, 2016","1,658.17","1,648.95","1,662.09","1,639.91","10.23K","1.54%"
"May 24, 2016","1,633.06","1,644.55","1,644.55","1,630.46","11.87K","-0.33%"
"May 23, 2016","1,638.40","1,623.57","1,641.82","1,620.35","8.73K","1.60%"
"May 20, 2016","1,612.62","1,605.87","1,616.08","1,603.78","5.57K","0.36%"
"May 19, 2016","1,606.80","1,623.62","1,623.97","1,606.12","8.58K","-0.77%"
"May 18, 2016","1,619.30","1,625.57","1,625.57","1,608.88","7.98K","-0.63%"
"May 17, 2016","1,629.54","1,627.88","1,632.14","1,620.35","7.68K","0.47%"
"May 16, 2016","1,621.86","1,626.45","1,630.57","1,619.60","6.76K","0.03%"
"May 13, 2016","1,621.38","1,622.09","1,625.58","1,615.66","6.80K","-0.03%"
"May 12, 2016","1,621.92","1,629.91","1,632.89","1,619.78","7.66K","-0.73%"
"May 11, 2016","1,633.91","1,651.10","1,652.02","1,630.08","5.65K","-0.72%"
"May 10, 2016","1,645.80","1,638.13","1,646.28","1,629.08","7.02K","0.69%"
"May 09, 2016","1,634.45","1,652.94","1,653.75","1,633.46","10.14K","-1.47%"
"May 04, 2016","1,658.85","1,665.35","1,668.65","1,654.90","10.21K","-0.60%"
"May 03, 2016","1,668.87","1,672.78","1,675.18","1,662.98","8.20K","0.59%"
"May 02, 2016","1,659.01","1,671.95","1,677.41","1,652.42","21.19K","-0.81%"
"Apr 29, 2016","1,672.62","1,675.89","1,678.74","1,668.05","6.94K","-0.07%"
"Apr 28, 2016","1,673.79","1,694.07","1,694.07","1,673.21","9.82K","-1.07%"
"Apr 27, 2016","1,691.92","1,707.75","1,707.90","1,688.98","8.60K","-0.73%"
"Apr 26, 2016","1,704.35","1,687.40","1,706.34","1,686.37","11.40K","1.11%"
"Apr 25, 2016","1,685.65","1,684.75","1,691.16","1,680.93","4.64K","0.12%"
"Apr 22, 2016","1,683.64","1,686.83","1,692.06","1,681.22","6.38K","-0.39%"
"Apr 21, 2016","1,690.18","1,693.74","1,696.77","1,685.64","5.93K","0.07%"
"Apr 20, 2016","1,689.06","1,685.53","1,693.94","1,684.54","6.29K","0.26%"
"Apr 19, 2016","1,684.60","1,683.34","1,686.31","1,677.30","3.77K","0.31%"
"Apr 18, 2016","1,679.40","1,691.33","1,692.82","1,679.25","6.07K","-0.78%"
"Apr 15, 2016","1,692.55","1,693.94","1,694.91","1,680.73","5.12K","0.16%"
"Apr 14, 2016","1,689.77","1,693.47","1,694.87","1,684.68","7.48K","0.54%"
"Apr 12, 2016","1,680.72","1,671.17","1,682.33","1,669.58","4.60K","0.61%"
"Apr 11, 2016","1,670.56","1,675.44","1,677.11","1,662.19","4.79K","-0.33%"
"Apr 08, 2016","1,676.04","1,667.86","1,676.04","1,658.19","6.43K","0.28%"
"Apr 07, 2016","1,671.37","1,683.35","1,683.64","1,662.66","8.18K","-0.25%"
"Apr 06, 2016","1,675.53","1,670.51","1,678.55","1,669.38","5.52K","0.44%"
"Apr 05, 2016","1,668.15","1,687.17","1,687.17","1,667.46","4.87K","-1.50%"
"Apr 04, 2016","1,693.51","1,678.78","1,693.51","1,673.61","5.81K","0.93%"
"Apr 01, 2016","1,677.97","1,687.35","1,691.80","1,672.81","7.51K","0.01%"
"Mar 31, 2016","1,677.82","1,677.38","1,681.89","1,671.92","8.50K","0.25%"
"Mar 30, 2016","1,673.59","1,679.91","1,685.48","1,671.52","7.81K","0.51%"
"Mar 29, 2016","1,665.04","1,665.88","1,677.53","1,661.22","8.58K","0.47%"
"Mar 28, 2016","1,657.27","1,667.68","1,670.03","1,653.41","10.19K","-0.07%"
"Mar 25, 2016","1,658.51","1,664.64","1,666.13","1,654.37","8.35K","-0.16%"
"Mar 24, 2016","1,661.23","1,673.34","1,673.34","1,655.47","7.51K","-1.09%"
"Mar 23, 2016","1,679.56","1,681.63","1,686.76","1,674.03","6.45K","0.03%"
"Mar 22, 2016","1,679.09","1,670.16","1,679.09","1,668.51","6.79K","0.89%"
"Mar 21, 2016","1,664.32","1,682.74","1,683.20","1,662.81","5.51K","-0.67%"
"Mar 18, 2016","1,675.53","1,683.31","1,687.89","1,667.11","6.68K","0.08%"
